name,address,district,lat,lng,mapped_region_id
유리바닥보트,제주 서귀포시 안덕면 화순해안로106번길 8 1층,,33.2382712,126.3364026,jeju
일출랜드,제주 서귀포시 성산읍 중산간동로 4150-30 일출랜드,,33.3832875,126.8415363,jeju
자연인 제주족욕,제주 제주시 월평동 827 자연인제주족욕,,33.4627949,126.5711875,jeju
점보빌리지,제주 서귀포시 안덕면 평화로319번길 31-11,,33.2762006,126.3050764,jeju
제주 감귤카트,제주 서귀포시 중문관광로 42 감귤카트(맥도날드 안쪽),,33.2548377,126.4077356,jeju
제주투어패스,제주 제주시 청사로 11,,33.4900852,126.5201337,jeju
런닝맨 제주점,제주 서귀포시 중문관광로 42,,33.254806,126.40893,jeju
제주 레일바이크,제주 제주시 구좌읍 용눈이오름로 641,,33.4643294,126.836615,jeju
제주 액티브파크,제주 제주시 한림읍 금능남로 76 액티브파크 제주,,33.3811424,126.2360785,jeju
액티브파크 카트,제주 제주시 한림읍 금능남로 76 액티브파크 카트,,33.3807412,126.2358857,jeju
액티브파크 클립앤클라임,제주 제주시 한림읍 금능남로 76 액티브파크 제주,,33.3811424,126.2360785,jeju
제주 최남단 체험감귤농장,제주 서귀포시 남원읍 남위남성로 164,,33.2899178,126.6937521,jeju
제주 크리스마스박물관,제주 서귀포시 안덕면 평화로 654,,33.2913123,126.3278107,jeju
제주바다체험장,제주 제주시 구좌읍 일주동로 1921,,33.5554022,126.7371694,jeju
제주바다하늘 패러글라이딩,제주 제주시 한림읍 한창로 1295,,33.3568669,126.2968507,jeju
제주시티투어,제주 제주시 남성로 159 302호,,33.5095039,126.5224111,jeju
제주신화월드,제주 서귀포시 안덕면 신화역사로304번길 38,,33.3066615,126.3161261,jeju
제주올패스,제주 제주시 애월읍 어도봉남길 23-5 7동,,33.4167001,126.3033093,jeju
제주이야기 행원점,경기 성남시 분당구 대왕판교로606번길 10 타워 1동 132호~138호,성남시,37.3950595,127.1089034,gyeonggi
제주지프,제주 제주시 조천읍 신북로 503 2층 201,,33.542645,126.6638828,jeju
제주 핫플버스,제주 서귀포시 표선면 민속해안로 631-34 제주민속촌 야간개장,,33.3243694,126.8418874,jeju
조안베어뮤지엄,제주 서귀포시 대포로 113,,33.2402745,126.4341148,jeju
중문미로파크,제주 서귀포시 상예동 3592-5,,33.2634792,126.3823741,jeju
중문승마공원,제주 서귀포시 이어도로 244 제주하이랜드,,33.2422786,126.445209,jeju
중문카트,제주 서귀포시 일주서로 1114 중문카트체험장,,33.2643379,126.3946104,jeju
차귀도 달래배낚시,제주 제주시 한경면 노을해안로 1160,,33.3088551,126.1649081,jeju
초콜릿박물관,제주 서귀포시 대정읍 일주서로3000번길 144 초콜릿박물관,,33.2570471,126.22998,jeju
카멜리아힐,제주 서귀포시 안덕면 병악로 166,,33.2901401,126.3683651,jeju
캐플릭스,서울 영등포구 선유로 103,영등포구,37.523263,126.8899409,seoul
타크라다이브,정보 없음,,,,
탐라승마장,제주 제주시 조천읍 비자림로 1044,,33.4330322,126.7169426,jeju
제주 테디베어하우스 테지움,제주 제주시 애월읍 평화로 2159 테디베어하우스 테지움,,33.4121613,126.3936508,jeju
토이승마장,제주 서귀포시 안덕면 동광로 265-14 제주 토이 승마장,,33.3182964,126.3451269,jeju
팰롱팰롱 빛나는,제주 제주시 애월읍 애월로 27-2 팰롱팰롱 빛나는,,33.4614476,126.3116172,jeju
편백포레스트 체험목장,제주 서귀포시 남원읍 서성로 544-97 편백포레스트,,33.3174795,126.65969,jeju
포레스트 공룡사파리,제주 제주시 조천읍 선교로 474-1,,33.4630625,126.7095693,jeju
제주 피규어뮤지엄,제주 서귀포시 안덕면 한창로 243,,33.2819847,126.3553971,jeju
하모해양레저,제주 서귀포시 대정읍 최남단해안로 120,,33.2100651,126.2583797,jeju
한담컬쳐,제주 제주시 애월읍 애월로1길 18 1층,,33.4624186,126.3106557,jeju
한림공원,제주 제주시 한림읍 한림로 300,,33.38939,126.240282,jeju
해양레저타운,제주 서귀포시 쇠소깍로 151-8,,33.2505587,126.6211783,jeju
허브동산,제주 서귀포시 표선면 돈오름로 170,,33.3298098,126.8150788,jeju
제주 화조원,제주 제주시 애월읍 애원로 804,,33.4109687,126.3718941,jeju
훈데르트바서파크,제주 제주시 우도면 우도해안길 32-12,,33.4931581,126.9557378,jeju
제주 휴애리,제주 서귀포시 남원읍 신례동로 256,,33.308545,126.634409,jeju
OK 레저 ATV,"서울 영등포구 당산로 83 201호, 202호",영등포구,37.5224025,126.8955104,seoul
아리랑혼 태권마샬아트공연,제주 서귀포시 표선면 번영로 2564-21 제주 아리랑,,33.4027196,126.7786294,jeju
WE호텔 웰니스센터 수영장,제주 서귀포시 1100로 453-95 WE호텔제주 웰니스 센터,,33.2857028,126.4445111,jeju
제주 레포츠랜드,제주 제주시 조천읍 와흘상서2길 47 제주레포츠랜드,,33.4821444,126.6381442,jeju
빅볼랜드,제주 제주시 구좌읍 금백조로 951 .,,33.4430941,126.7756713,jeju
가파도 정기여객선,제주 서귀포시 대정읍 최남단해안로 120,,33.2100651,126.2583796,jeju
더시에나리조트 라스투베,제주 서귀포시 용흥로66번길 158-8 더 시에나 리조트,,33.2649201,126.4831099,jeju
더시에나프리보 까보스코,제주 서귀포시 용흥로66번길 158-7 더 시에나 프리모 까보스코 본관 1층,,33.254,126.4115,jeju
본태박물관,제주 서귀포시 안덕면 산록남로762번길 69 본태박물관,,33.3038491,126.3921862,jeju
아쿠아플라넷 제주,제주 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,,33.4326445,126.9279667,jeju
제주제트,제주 서귀포시 대포로 172-5 제주제트,,33.2384179,126.439465,jeju
케이팝스테이지 K-POP STAGE,"서울 마포구 와우산로21길 29 , 지하1층",마포구,37.5665,126.9018,seoul
평택북부문화예술회관 대공연장,경기 평택시 경기대로 1366 북부문화예술회관,평택시,36.9745464,127.1161001,gyeonggi
인천 남동소래아트홀 대공연장,"인천 남동구 아암대로1437번길 32 , 대공연장",남동구,37.4473,126.7314,incheon
고라니특공대,서울 마포구 토정로 136,마포구,37.5452654,126.9263344,seoul
THE HENZ CLUB,서울 영등포구 버드나루로 103,영등포구,37.5273363,126.908176,seoul
플렉스 라운지,서울 마포구 양화로 100-10 다내리빌딩 지하,마포구,37.5525683,126.9190179,seoul
R&J씨어터,서울 종로구 낙산길 14,종로구,37.5803385,127.0052996,seoul
서울어린이대공원 아트센터,서울 광진구 능동로 216,광진구,37.5469468,127.0819022,seoul
살롱쿤스트,서울 서초구 논현로 117 B01,서초구,37.4802992,127.043322,seoul
지산포레스트 리조트,경기 이천시 마장면 지산로 267,이천시,37.2165003,127.3467161,gyeonggi
모두누림센터 누림아트홀,경기 화성시 남양읍 시청로 155 화성서부복합문화센터,화성시,37.1989797,126.828449,gyeonggi
청주대학교 석우문화체육관,충북 청주시 청원구 율량동 430,,36.6623952,127.5026692,chungbuk
진해공설운동장,경남 창원시 진해구 충무로 43,,35.148941,128.6547607,gyeongnam
이크루즈,서울 영등포구 여의동로 280 이크루즈 매표소,영등포구,37.5249251,126.9379568,seoul
파주 홍삼스파,경기 파주시 탄현면 장릉로 5,파주시,37.7738991,126.7172828,gyeonggi
베이글유니버스,정보 없음,,,,
대구삼성라이온즈파크,대구 수성구 야구전설로 1 대구삼성라이온즈파크,,35.8410706,128.6817523,daegu
창원NC파크,경남 창원시 마산회원구 삼호로 63,,35.2224951,128.5825537,gyeongnam
광주기아챔피언스필드,광주 북구 서림로 10 무등종합경기장,,35.1682116,126.8891068,gwangju
수원KT위즈파크,경기 수원시 장안구 경수대로 893 수원종합운동장(주경기장),수원시,37.300096,127.0096588,gyeonggi
부산강서체육관,부산 강서구 대저1동 1-1,강서구,35.2109777,128.9722092,busan
강동아트센터,서울 강동구 동남로 870 강동아트센터,강동구,37.5510795,127.1576349,seoul
잠실종합운동장잠실야구장,서울 송파구 올림픽로 19-2 서울종합운동장,송파구,37.5119858,127.0718388,seoul
인천SSG 랜더스필드,인천 미추홀구 매소홀로 618,미추홀구,37.4368605,126.6932818,incheon
한화생명이글스파크,대전 중구 대종로 373,중구,36.3170523,127.4284751,daejeon
부산사직종합운동장사직야구장,부산 동래구 사직로 55-32,,35.1931684,129.0615852,busan
청주 SK호크스아레나,충북 청주시 서원구 흥덕로 61 국민생활관,,36.6410271,127.4706034,chungbuk
수원체육관,경기 수원시 장안구 경수대로 893,수원시,37.2983797,127.0090851,gyeonggi
