Original,TranslationFormula
"뮤지컬<여명의눈동자> 당일 캐스팅 변경 안내 * 3월 13일(금) 7시30분 대치役 김준현 → 정시욱 3/13(금) 7시 30분 당일 캐스팅이 변경 되어 안내드립니다.캐스팅 변경으로 인한 취소 및 환불은 미수령건에 한하여 일괄적으로 처리될 예정입니다. 관람에 불편을 드려 죄송합니다.관객분들의 너른 양해 부탁드립니다.감사합니다.","=GOOGLETRANSLATE(A180, ""ko"", ""ja"")"
"뮤지컬 〈우리의 보통날들〉 리딩 쇼케이스","=GOOGLETRANSLATE(A181, ""ko"", ""ja"")"
"파랑새극장","=GOOGLETRANSLATE(A182, ""ko"", ""ja"")"
"서울 종로구 대학로 116","=GOOGLETRANSLATE(A183, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지공연시간 : 오후 8시 (1회 공연) 
※ 공연 시간은 90분이며, 인터미션은 없습니다.
※ 공연 시작 30분 전부터 입장 가능합니다.","=GOOGLETRANSLATE(A184, ""ko"", ""ja"")"
"뮤지컬 〈은밀하게 위대하게:THE LAST〉 - 10주년 기념 공연","=GOOGLETRANSLATE(A185, ""ko"", ""ja"")"
"NOL 씨어터 대학로 우리카드홀","=GOOGLETRANSLATE(A186, ""ko"", ""ja"")"
"서울 종로구 동숭길 100","=GOOGLETRANSLATE(A187, ""ko"", ""ja"")"
"예매가능시간: 관람 3시간 전까지화-금요일 오후 7시 30분
토,일요일 및 공휴일 오후 2시 / 6시 30분","=GOOGLETRANSLATE(A188, ""ko"", ""ja"")"
"뮤지컬 〈적토〉","=GOOGLETRANSLATE(A189, ""ko"", ""ja"")"
"SH아트홀","=GOOGLETRANSLATE(A190, ""ko"", ""ja"")"
