Original,TranslationFormula
층 604호,"=GOOGLETRANSLATE(A131, ""ko"", ""en"")"
경기도 부천시 심곡동 부일로 507 6층 604호,"=GOOGLETRANSLATE(A132, ""ko"", ""en"")"
반짝반짝 플라워 코스터 원데이클래스~,"=GOOGLETRANSLATE(A133, ""ko"", ""en"")"
내 손으로 피워내는 소이플라워캔들 원데이클래스,"=GOOGLETRANSLATE(A134, ""ko"", ""en"")"
광빌딩 8층 후화정원,"=GOOGLETRANSLATE(A135, ""ko"", ""en"")"
대전광역시 중구 대흥동 보문로260번길 30  영광빌딩 8층 후화정원,"=GOOGLETRANSLATE(A136, ""ko"", ""en"")"
반려견 수제 간식 클래스,"=GOOGLETRANSLATE(A137, ""ko"", ""en"")"
경기도 고양시 덕양구 원흥1로 46-19 1층 104호 원흥동,"=GOOGLETRANSLATE(A138, ""ko"", ""en"")"
경기도 고양시 덕양구 원흥1로 46-19 1층 104호(원흥동),"=GOOGLETRANSLATE(A139, ""ko"", ""en"")"
물레 원데이클래스,"=GOOGLETRANSLATE(A140, ""ko"", ""en"")"
바다 or 꽃 젤캔들 홀더 만들기,"=GOOGLETRANSLATE(A141, ""ko"", ""en"")"
경기도 · 광주시 · 태전로,"=GOOGLETRANSLATE(A142, ""ko"", ""en"")"
경기도 광주시 태전로,"=GOOGLETRANSLATE(A143, ""ko"", ""en"")"
명품/니치향수 만들기,"=GOOGLETRANSLATE(A144, ""ko"", ""en"")"
가박스 3층 아로마포레스트,"=GOOGLETRANSLATE(A145, ""ko"", ""en"")"
부산광역시 사상구 사상로 201 메가박스 3층 아로마포레스트,"=GOOGLETRANSLATE(A146, ""ko"", ""en"")"
여성트레이너 피티 pt PT 수업 체험 배우기,"=GOOGLETRANSLATE(A147, ""ko"", ""en"")"
서울특별시 강동구 성내동 513 강동역 3번출구 근처 / 중앙마트 바로옆 중앙아파트 B(지하)1층,"=GOOGLETRANSLATE(A148, ""ko"", ""en"")"
포항에서 원데이서핑강습 풀패키지,"=GOOGLETRANSLATE(A149, ""ko"", ""en"")"
조금이라도 생각있다면 지금 바로 문의 전화 주세요!!,"=GOOGLETRANSLATE(A150, ""ko"", ""en"")"
조금이라도 생각있다면 지금 바로 문의  주세요!!,"=GOOGLETRANSLATE(A151, ""ko"", ""en"")"
케이크토퍼 창업 자격증 클래스,"=GOOGLETRANSLATE(A152, ""ko"", ""en"")"
01호 레오토퍼,"=GOOGLETRANSLATE(A153, ""ko"", ""en"")"
인천광역시 미추홀구 주안동 구월로19번길 17 101호 레오토퍼,"=GOOGLETRANSLATE(A154, ""ko"", ""en"")"
"500,000원","=GOOGLETRANSLATE(A155, ""ko"", ""en"")"
"아이들과 함께 하는 제스모나이트, 웜아트 클래스","=GOOGLETRANSLATE(A156, ""ko"", ""en"")"
"반려동물 약과,송편만들기 원데이클래스","=GOOGLETRANSLATE(A157, ""ko"", ""en"")"
서울특별시 광진구 군자동 면목로 12 2층,"=GOOGLETRANSLATE(A158, ""ko"", ""en"")"
"58,000원","=GOOGLETRANSLATE(A159, ""ko"", ""en"")"
공방 및 온라인창업을 위한 제스모나이트 자격증 클래스,"=GOOGLETRANSLATE(A160, ""ko"", ""en"")"
"900,000원","=GOOGLETRANSLATE(A161, ""ko"", ""en"")"
처음 시작하는 이지드럼 원데이클래스,"=GOOGLETRANSLATE(A162, ""ko"", ""en"")"
가격도 오픈 기념으로 할인행사 중입니다:),"=GOOGLETRANSLATE(A163, ""ko"", ""en"")"
펜싱 마에스트로에게 배우는 펜싱 원데이클래스!,"=GOOGLETRANSLATE(A164, ""ko"", ""en"")"
나만의 향수 만들기 클래스,"=GOOGLETRANSLATE(A165, ""ko"", ""en"")"
"시들지 않는 마음을 전하는, 모루 꽃다발 만들기 CLASS","=GOOGLETRANSLATE(A166, ""ko"", ""en"")"
⌜IFFY - 타로 원데이 클래스⌟,"=GOOGLETRANSLATE(A167, ""ko"", ""en"")"
"향기가득 달달한 캔들 원데이 클래스(큐브캔들, 초콜릿 왁스타블렛, 마카롱캔들)","=GOOGLETRANSLATE(A168, ""ko"", ""en"")"
안티버그클래스,"=GOOGLETRANSLATE(A169, ""ko"", ""en"")"
층 레네의작업실,"=GOOGLETRANSLATE(A170, ""ko"", ""en"")"
대전광역시 동구 삼성동 278-34 대한민국 대전광역시 동구 삼성동 278-34 대전 동구 선화로 183-3 1층 레네의작업실,"=GOOGLETRANSLATE(A171, ""ko"", ""en"")"
쉽게 만드는 백드로페인팅.나이프페인팅 클래스💕,"=GOOGLETRANSLATE(A172, ""ko"", ""en"")"
대전광역시 동구 삼성동 278-34 대전 동구 선화로 183-3 1층 레네의작업실,"=GOOGLETRANSLATE(A173, ""ko"", ""en"")"
새로운 경험! 재밌는 폴댄스 1:1/ 2:1 원데이클래스,"=GOOGLETRANSLATE(A174, ""ko"", ""en"")"
날도 좋고 여름맡이 새로운 취미 원데이클래스 체험하고 가세요~,"=GOOGLETRANSLATE(A175, ""ko"", ""en"")"
"계절의 꽃의 향과 맛, 색을 오롯이 만드는 꽃차클래스","=GOOGLETRANSLATE(A176, ""ko"", ""en"")"
경기도 가평군 설악면 창의리 421-1 경기 가평군 설악면 한서로124번길 16-14 2층,"=GOOGLETRANSLATE(A177, ""ko"", ""en"")"
나만의 아트토이 만들기 원데이 클래스,"=GOOGLETRANSLATE(A178, ""ko"", ""en"")"
F 온다름,"=GOOGLETRANSLATE(A179, ""ko"", ""en"")"
부산시 강서구 명지동 명지국제6로318번길 16-8  1F 온다름,"=GOOGLETRANSLATE(A180, ""ko"", ""en"")"
두가지 한번에! 마들렌+실링왁스까지 만드는 2in1 갓성비 클래스!,"=GOOGLETRANSLATE(A181, ""ko"", ""en"")"
"서울특별시 관악구 봉천동 인헌17길 3 인수당약국 근방 1분거리에 있으며, 신청 확정 시 안내해 드려요~","=GOOGLETRANSLATE(A182, ""ko"", ""en"")"
서울 관악구 인헌17길 3,"=GOOGLETRANSLATE(A183, ""ko"", ""en"")"
"39,600원","=GOOGLETRANSLATE(A184, ""ko"", ""en"")"
나만의 컬러와 디자인을 담은 천연 비누,"=GOOGLETRANSLATE(A185, ""ko"", ""en"")"
"초보자도 쉽게 따라 할 수 있도록 강사가 친절하게 설명해드리며, 소규모 클래스로 운영되어 개별 피드백을 받을 수 있습니다. 집중하며 나만의 작품을 만드는 과정에서 스트레스 해소와 창작의 즐거움을 함께 경험해 보세요! 😊","=GOOGLETRANSLATE(A186, ""ko"", ""en"")"
투명한 바다비누 만들기,"=GOOGLETRANSLATE(A187, ""ko"", ""en"")"
이플피움 힐링 플라워 원데이클래스,"=GOOGLETRANSLATE(A188, ""ko"", ""en"")"
연산더샵파크시티 아파트단지 한들공원 앞 꽃집입니다,"=GOOGLETRANSLATE(A189, ""ko"", ""en"")"
"감성 촉촉한 흙과 함께 하는 시간, 도자기클래스","=GOOGLETRANSLATE(A190, ""ko"", ""en"")"
원하시는 체험을 골라 예약 하시면 그에 맞는 프로세스로 클래스가 진행됩니다! 도자기 만들기의 각 방법을 확인하신 후 신청해주세요 :),"=GOOGLETRANSLATE(A191, ""ko"", ""en"")"
구미취미미술 아크릴화 그리기,"=GOOGLETRANSLATE(A192, ""ko"", ""en"")"
경상북도 · 구미시 · 형곡로,"=GOOGLETRANSLATE(A193, ""ko"", ""en"")"
경상북도 구미시 형곡로,"=GOOGLETRANSLATE(A194, ""ko"", ""en"")"
"43,650원","=GOOGLETRANSLATE(A195, ""ko"", ""en"")"
나만의 벽걸이 꽃꽂이만들기,"=GOOGLETRANSLATE(A196, ""ko"", ""en"")"
부산광역시 부산진구 전포동 207-86 지하 1층,"=GOOGLETRANSLATE(A197, ""ko"", ""en"")"
부산 부산진구 전포동 207-86,"=GOOGLETRANSLATE(A198, ""ko"", ""en"")"
화과자자격증,"=GOOGLETRANSLATE(A199, ""ko"", ""en"")"
고나시 우이로우 네리끼리 셋뻬+일본식 양갱 총 4회 과정 입니다,"=GOOGLETRANSLATE(A200, ""ko"", ""en"")"
"850,000원","=GOOGLETRANSLATE(A201, ""ko"", ""en"")"
보습촉촉 꿀비누 만들어봐요,"=GOOGLETRANSLATE(A202, ""ko"", ""en"")"
나를 만나는 글쓰기,"=GOOGLETRANSLATE(A203, ""ko"", ""en"")"
부산광역시 강서구 명지동 3578-5 카페 오후의 숲,"=GOOGLETRANSLATE(A204, ""ko"", ""en"")"
부산 강서구 명지국제6로1번가길 13,"=GOOGLETRANSLATE(A205, ""ko"", ""en"")"
아이패드 드로잉 원데이클래스,"=GOOGLETRANSLATE(A206, ""ko"", ""en"")"
몸도 마음도 단단! 내몸내필 필라테스 클래스,"=GOOGLETRANSLATE(A207, ""ko"", ""en"")"
여름맞이 꽃캉스!!,"=GOOGLETRANSLATE(A208, ""ko"", ""en"")"
층 화인당 꽃집,"=GOOGLETRANSLATE(A209, ""ko"", ""en"")"
서울특별시 서초구 방배동 방배천로2안길 99 1층 화인당 꽃집,"=GOOGLETRANSLATE(A210, ""ko"", ""en"")"
"72,000원","=GOOGLETRANSLATE(A211, ""ko"", ""en"")"
누구나 요가,"=GOOGLETRANSLATE(A212, ""ko"", ""en"")"
경상남도 창원시 의창구 소답동 157-1 2층,"=GOOGLETRANSLATE(A213, ""ko"", ""en"")"
캘리 그라피,"=GOOGLETRANSLATE(A214, ""ko"", ""en"")"
한강에서 즐기는 카약과 패들보드,"=GOOGLETRANSLATE(A215, ""ko"", ""en"")"
하나뿐인 나만의 원석팔찌 만들기,"=GOOGLETRANSLATE(A216, ""ko"", ""en"")"
선생님이친절하시고편하게대해주셔서친구들과즐겁게하고왔어요!이쁜팔찌잘만들고왔습니다!부산오시면꼭오세요!최고에요💚,"=GOOGLETRANSLATE(A217, ""ko"", ""en"")"
"53,000원","=GOOGLETRANSLATE(A218, ""ko"", ""en"")"
나만의 특별한 트렌디하고 감각적인 플라워레슨,"=GOOGLETRANSLATE(A219, ""ko"", ""en"")"
캐릭터 초밥 아트 2급,"=GOOGLETRANSLATE(A220, ""ko"", ""en"")"
경기도 · 양주시 · 고암동,"=GOOGLETRANSLATE(A221, ""ko"", ""en"")"
경기도 양주시 고암동,"=GOOGLETRANSLATE(A222, ""ko"", ""en"")"
캐릭터 유부초밥,"=GOOGLETRANSLATE(A223, ""ko"", ""en"")"
햇살이 좋은 기운을 불러다주는 모빌 썬캐쳐 만들기 CLASS,"=GOOGLETRANSLATE(A224, ""ko"", ""en"")"
선물로도 인기가 좋아요 ღ’ᴗ‘ღ,"=GOOGLETRANSLATE(A225, ""ko"", ""en"")"
선물로도 인기가 좋아요(ღ’ᴗ‘ღ),"=GOOGLETRANSLATE(A226, ""ko"", ""en"")"
건강한 두피와 모발을 위한 샴푸바 만들기,"=GOOGLETRANSLATE(A227, ""ko"", ""en"")"
서울특별시 마포구 아현동 마포대로 196 1333호,"=GOOGLETRANSLATE(A228, ""ko"", ""en"")"
"35,150원","=GOOGLETRANSLATE(A229, ""ko"", ""en"")"
요즘 HOT!한 힙팟 클래스(수료증 과정),"=GOOGLETRANSLATE(A230, ""ko"", ""en"")"
부산광역시 북구 구포동 896-29 1층,"=GOOGLETRANSLATE(A231, ""ko"", ""en"")"
"267,000원","=GOOGLETRANSLATE(A232, ""ko"", ""en"")"
요즘 HOT!한 힙팟 만들기 원데이클래스,"=GOOGLETRANSLATE(A233, ""ko"", ""en"")"
기업강사 도전하기,"=GOOGLETRANSLATE(A234, ""ko"", ""en"")"
서울 · 중구 · 태평로1가,"=GOOGLETRANSLATE(A235, ""ko"", ""en"")"
서울 중구 태평로1가,"=GOOGLETRANSLATE(A236, ""ko"", ""en"")"
"110,000원","=GOOGLETRANSLATE(A237, ""ko"", ""en"")"
작은 세상과 만나다 “왁스 디오라마”,"=GOOGLETRANSLATE(A238, ""ko"", ""en"")"
서울 · 서초구 · 방배로42길,"=GOOGLETRANSLATE(A239, ""ko"", ""en"")"
서울 서초구 방배로42길,"=GOOGLETRANSLATE(A240, ""ko"", ""en"")"
바리스타 2급 자격증반,"=GOOGLETRANSLATE(A241, ""ko"", ""en"")"
6:1 기구필라테스 위더스필라테스목동점,"=GOOGLETRANSLATE(A242, ""ko"", ""en"")"
"서울 양천구 신월로 383 법조타운, 3층","=GOOGLETRANSLATE(A243, ""ko"", ""en"")"
100원,"=GOOGLETRANSLATE(A244, ""ko"", ""en"")"
개인체험 기구필라테스,"=GOOGLETRANSLATE(A245, ""ko"", ""en"")"
"31,350원","=GOOGLETRANSLATE(A246, ""ko"", ""en"")"
홈카페 자격증반,"=GOOGLETRANSLATE(A247, ""ko"", ""en"")"
서울 스테인드글라스/유리공예 원데이 클래스,"=GOOGLETRANSLATE(A248, ""ko"", ""en"")"
서울 · 구로구 · 구로동,"=GOOGLETRANSLATE(A249, ""ko"", ""en"")"
서울 구로구 구로동,"=GOOGLETRANSLATE(A250, ""ko"", ""en"")"
맛있는 미니구겔호프 베이킹클래스,"=GOOGLETRANSLATE(A251, ""ko"", ""en"")"
"서울특별시 서대문구 대현동 이화여대길59 메르체쇼핑몰 6층, 나우쿠킹","=GOOGLETRANSLATE(A252, ""ko"", ""en"")"
나무 고양이 조각,"=GOOGLETRANSLATE(A253, ""ko"", ""en"")"
화철강 2층 201호,"=GOOGLETRANSLATE(A254, ""ko"", ""en"")"
서울특별시 영등포구 문래동3가 도림로126길 18 태화철강 2층 201호,"=GOOGLETRANSLATE(A255, ""ko"", ""en"")"
"속은 촉촉 겉은 달콤한, 레몬 마들렌 / 초코 마들렌 만들기","=GOOGLETRANSLATE(A256, ""ko"", ""en"")"
레시피 순서대로 준비해두신 재료에 맞추어 반죽합니다!,"=GOOGLETRANSLATE(A257, ""ko"", ""en"")"
요즘 춤 하나쯤 도전? kpop dance 원데이 클래스,"=GOOGLETRANSLATE(A258, ""ko"", ""en"")"
"29,700원","=GOOGLETRANSLATE(A259, ""ko"", ""en"")"
명품/니치향수 만들기(Grasse 산 향료),"=GOOGLETRANSLATE(A260, ""ko"", ""en"")"
도자기 원데이클래스 - 반려동물을 위한 그릇 만들기 (물레),"=GOOGLETRANSLATE(A261, ""ko"", ""en"")"
서울특별시 광진구 구의1동 자양로18길 56 3층,"=GOOGLETRANSLATE(A262, ""ko"", ""en"")"
도자기 원데이클래스 - 반려동물을 위한 그릇 만들기 (핸드빌딩),"=GOOGLETRANSLATE(A263, ""ko"", ""en"")"
선인장 캔들(테라리움 캔들),"=GOOGLETRANSLATE(A264, ""ko"", ""en"")"
